type,address,label
bitcoinsov,0xde0d47fa92b4d616b100f5dd027fc91704b24b73,BSoV Pool: Payments
binance,0x3f5ce5fbfe3e9af3971dd833d26ba9b5c936f0be,Binance 1
binance,0xd551234ae421e3bcba99a0da6d736074f22192ff,Binance 2
binance,0x564286362092d8e7936f0549571a803b203aaced,Binance 3
binance,0x0681d8db095565fe8a346fa0277bffde9c0edbbf,Binance 4
binance,0xfe9e8709d3215310075d67e3ed32a380ccf451c8,Binance 5
binance,0x4e9ce36e442e55ecd9025b9a6e0d88485d628a67,Binance 6
binance,0xbe0eb53f46cd790cd13851d5eff43d12404d33e8,Binance 7
binance,0xf977814e90da44bfa03b6295a0616a897441acec,Binance 8
binance,0x001866ae5b3de6caa5a51543fd9fb64f524f5478,Binance 9
binance,0x8b99f3660622e21f2910ecca7fbe51d654a1517d,Binance Charity
binance,0xab83d182f3485cf1d6ccdd34c7cfef95b4c08da4,Binance JEX
binance,0xb8c77482e45f1f44de1745f52c74426c631bdd52,Binance Token
binance,0x4fabb145d64652a948d72533023f6e7a623c7c53,Binance USD
binance,0xc9a2c4868f0f96faaa739b59934dc9cb304112ec,Binance: BGBP Token
binance,0x0b95993a39a363d99280ac950f5e4536ab5c5566,Binance: Contract 1
abcc,0x05f51aab068caa6ab7eeb672f88c180f67f17ec7,ABCC
abcc,0xbf8fb919a8bbf28e590852aef2d284494ebc0657,ABCC Token
band,0xba11d00c5f74255f56a5e366f4f77f5a186d7f55,Band Protocol Token
band,0x78616b19804835f6a6d50199f0af8d38f04bc3b1,Band: Locked Ecosystem
band,0x7a62a7dcf64e1eb94e374ec187ad14ba6e595062,Band: Main MultiSig
bitmart,0xe79eef9b9388a4ff70ed7ec5bccd5b928ebb8bd1,BitMart
bitmart,0x986ee2b944c42d017f52af21c4c69b84dbea35d8,BitMart Token
bithumb,0x88d34944cf554e9cccf4a24292d891f620e9c94f,Bithumb 1
bithumb,0x186549a4ae594fc1f70ba4cffdac714b405be3f9,Bithumb 10
bithumb,0xd273bd546b11bd60214a2f9d71f22a088aafe31b,Bithumb 11
bithumb,0x3052cd6bf951449a984fe4b5a38b46aef9455c8e,Bithumb 2
bithumb,0x2140efd7ba31169c69dfff6cdc66c542f0211825,Bithumb 3
bithumb,0xa0ff1e0f30b5dda2dc01e7e828290bc72b71e57d,Bithumb 4
bithumb,0xc1da8f69e4881efe341600620268934ef01a3e63,Bithumb 5
bithumb,0xb4460b75254ce0563bb68ec219208344c7ea838c,Bithumb 6
bithumb,0x15878e87c685f866edfaf454be6dc06fa517b35b,Bithumb 7
bithumb,0x31d03f07178bcd74f9099afebd23b0ae30184ab5,Bithumb 8
bithumb,0xed48dc0628789c2956b1e41726d062a86ec45bff,Bithumb 9
bithumb,0x3fbe1f8fc5ddb27d428aa60f661eaaab0d2000ce,Bithumb: Contract 1
bithumb,0xbb5a0408fa54287b9074a2f47ab54c855e95ef82,Bithumb: Old Address 1
bithumb,0x5521a68d4f8253fc44bfb1490249369b3e299a4a,Bithumb: Old Address 2
bithumb,0x8fa8af91c675452200e49b4683a33ca2e1a34e42,Bithumb: Old Address 3
bithumb,0x3b83cd1a8e516b6eb9f1af992e9354b15a6f9672,Bithumb: Old Address 4
bitpie,0x7b138cc83ecccd6331cd7651c75ee3eb2ec6682e,Bitpie: Batch Sender
bitpie,0x3b7e71a9f15eebb541c82f88ef020ae7040484f1,Bitpie: Batch Sender v2
bitpie,0x48fc0b223b818b55f2a6feb3ab329ff816edd2bc,Bitpie: Deployer
airdrop-distributor,0x6631625a68b08e0fdf605c354ff0e710a0176c84,AfroDex: CrowdSend
airdrop-distributor,0x617c69250f678215f39ab00328ea9d06d77ab778,AfroDex: Genesis
airdrop-distributor,0xb5adb233f28c86cef693451b67e1f2d41da97d21,Bitox.io
airdrop-distributor,0x3b7e71a9f15eebb541c82f88ef020ae7040484f1,Bitpie: Batch Sender v2
airdrop-distributor,0xd1917932a7db6af687b523d5db5d7f5c2734763f,Bulksender.app
airdrop-distributor,0x7e760ad2a3e901bf034daa53222286524a4fbcf6,CoinMarketFeed: Airdrop & Liquidity
airdrop-distributor,0xcf6cc4dddad0924e0b55a394cfb4c442822f6311,Exnce: Airdrop Distributor
airdrop-distributor,0x51f43d0c05eefdeb70eeaf973e0b8286e494902d,Exsender
airdrop-distributor,0xc12d1c73ee7dc3615ba4e37e4abfdbddfa38907e,KickICO Token
airdrop-distributor,0xa5025faba6e70b84f74e9b1113e5f7f4e7f4859f,Multisender.app
bancor,0xc18166e01970be040d8c7761cdd1c3372ae1edf0,Bancor: Converter #118
bancor,0x69e37aba9b520a204bb0baebd76b0ac1a2390b37,Bancor: Converter #119
bancor,0xc893f7e271d1436ae3758cd59d5242884c02fb7f,Bancor: Converter #12
bancor,0x2596aada3c9290293433adcb3359c9a04112eb16,Bancor: Converter #120
bancor,0xf346a9884bf8f858848268fb9d8ab31dae4b323f,Bancor: Converter #121
bancor,0x07cff9c779702a57a4da4b15ef9a0af58e9472d3,Bancor: Converter #122
bancor,0x593a70c88a14188f05636f9173a63128540a5890,Bancor: Converter #123
bancor,0x587044b74004e3d5ef2d453b7f8d198d9e4cb558,Bancor: Converter #124
bancor,0x20d23c7a4b2ea38f9dc885bd25b1bc8c2601d44d,Bancor: Converter #125
bancor,0x8658863984d116d4b3a0a5af45979eceac8a62f1,Bancor: Converter #126
bancor,0xf4327c919854cb099ac574a22f5fba901e2025c4,Bancor: Converter #127
bancor,0xfa968bc2e4768d431ffec4ee64307f8152e1c9f1,Bancor: Converter #128
bancor,0x71168843b49e305e4d53de158683903ef261b37f,Bancor: Converter #129
bancor,0xe86d3a9bada1b7adcc32abde0522861b1dc7973a,Bancor: Converter #13
bancor,0x445556b7215349b205997aaaf6c6dfa258eb029d,Bancor: Converter #130
bancor,0x645a3f2fa86be27a4d9a3cc93a73f27b33df766f,Bancor: Converter #131
